index;p_err;d_err;i_err;rb_speed;U_control;angle
330;-0,4881082;0,7036638;-4,354678;50,14827;-0,0138143;-0,0002
331;-0,4850817;0,7262041;-4,362764;50,26185;0,10349;0,0017
332;-0,4819616;0,7486801;-4,370798;50,37526;0,2207801;0,0037
333;-0,4787488;0,7709201;-4,378779;50,4885;0,3372002;0,0056
334;-0,4754443;0,7929242;-4,386704;50,60157;0,452749;0,0075
335;-0,4720488;0,8147422;-4,394574;50,71447;0,5676724;0,0095
336;-0,4685631;0,8364245;-4,402385;50,82721;0,6822194;0,0114
337;-0,4649872;0,8580208;-4,410136;50,93978;0,7966377;0,0133
338;-0,4613217;0,8795601;-4,417827;51,05218;0,9110697;0,0152
339;-0,4575665;0,9010707;-4,425454;51,16442;1,025658;0,0171
340;-0,4537215;0,9226027;-4,433018;51,2765;1,140652;0,019
341;-0,4497867;0,9441633;-4,440516;51,38841;1,256089;0,0209
342;-0,4457618;0,9657812;-4,447947;51,50016;1,372112;0,0229
343;-0,4416465;0,9874849;-4,455309;51,61175;1,488865;0,0248
344;-0,4374405;1,009239;-4,462601;51,72318;1,606172;0,0268
345;-0,4331432;1,031135;-4,469821;51,83445;1,724497;0,0287
346;-0,4287542;1,053168;-4,476969;51,94556;1,843807;0,0307
347;-0,4242727;1,075322;-4,484041;52,0565;1,964033;0,0327
348;-0,4196986;1,097584;-4,491037;52,16729;2,085107;0,0348
349;-0,415031;1,120002;-4,497956;52,27792;2,207279;0,0368
350;-0,4102694;1,14255;-4,504795;52,38839;2,330411;0,0388
351;-0,4054133;1,165226;-4,511553;52,4987;2,454504;0,0409
352;-0,4004622;1,188038;-4,518229;52,60884;2,579596;0,043
353;-0,3954154;1,210986;-4,524821;52,71883;2,705689;0,0451
354;-0,3902628;1,236366;-4,531326;52,82866;2,844225;0,0474
355;-0,3850663;1,246913;-4,537745;52,93836;2,90922;0,0485
356;-0,3798972;1,240327;-4,544078;53,04795;2,889018;0,0482
357;-0,3748181;1,218759;-4,550326;53,15741;2,794127;0,0466
358;-0,3698826;1,184262;-4,556492;53,26669;2,634584;0,0439
359;-0,3651311;1,140154;-4,562579;53,37576;2,426761;0,0405
360;-0,3605899;1,08966;-4,56859;53,48461;2,186604;0,0365
361;-0,3562736;1,035712;-4,574529;53,59324;1,928639;0,0322
362;-0,3521852;0,9809988;-4,5804;53,70167;1,66622;0,0278
363;-0,348285;0,9358752;-4,586206;53,80996;1,450928;0,0242
